FULL1_NAME,County
"Baltimore County, Maryland",48
"Bamberg County, South Carolina",2511
"Bandera County, Texas",1860
"Banks County, Georgia",2077
"Banner County, Nebraska",2833
"Bannock County, Idaho",1396
"Baraga County, Michigan",2380
"Barber County, Kansas",2947
"Barbour County, Alabama",1762
"Barbour County, West Virginia",2089
"Barnes County, North Dakota",2864
"Barnstable County, Massachusetts",196
"Barnwell County, South Carolina",881
"Barren County, Kentucky",1593
"Barron County, Wisconsin",1561
"Barrow County, Georgia",1443
"Barry County, Michigan",1483
"Barry County, Missouri",1662
"Bartholomew County, Indiana",1414
"Barton County, Kansas",2043
"Barton County, Missouri",2327
"Bartow County, Georgia",1362
"Bastrop County, Texas",1428
"Bates County, Missouri",2086
"Bath County, Kentucky",2124
"Bath County, Virginia",2441
"Baxter County, Arkansas",678
"Bay County, Florida",1279
"Bay County, Michigan",1353
"Bayamon County, Puerto Rico",2152
"Bayfield County, Wisconsin",1931
"Baylor County, Texas",2977
"Beadle County, South Dakota",2503
"Bear Lake County, Idaho",2435
"Beaufort County, North Carolina",1543
"Beaufort County, South Carolina",253
"Beauregard County, Louisiana",1660
"Beaver County, Oklahoma",2620
"Beaver County, Pennsylvania",239
"Beaver County, Utah",2427
"Beaverhead County, Montana",2137
"Becker County, Minnesota",775
"Beckham County, Oklahoma",892
"Bedford City County, Virginia",2431
"Bedford County, Pennsylvania",596
"Bedford County, Tennessee",1567
"Bedford County, Virginia",479
"Bee County, Texas",2183
"Belknap County, New Hampshire",1480
"Bell County, Kentucky",2189
"Bell County, Texas",1214
"Belmont County, Ohio",471
"Beltrami County, Minnesota",645
"Ben Hill County, Georgia",2080
"Benewah County, Idaho",2136
"Bennett County, South Dakota",2986
"Bennington County, Vermont",722
"Benson County, North Dakota",2907
"Bent County, Colorado",2776
"Benton County, Arkansas",191
"Benton County, Iowa",1778
"Benton County, Indiana",2381
"Benton County, Minnesota",1628
"Benton County, Missouri",1875
"Benton County, Mississippi",2683
"Benton County, Oregon",420
"Benton County, Tennessee",1913
"Benton County, Washington",235
"Benzie County, Michigan",1896
"Bergen County, New Jersey",39
"Berkeley County, South Carolina",232
"Berkeley County, West Virginia",1359
"Berks County, Pennsylvania",119
"Berkshire County, Massachusetts",306
"Bernalillo County, New Mexico",1182
"Berrien County, Georgia",1872
"Berrien County, Michigan",1287
"Bertie County, North Carolina",2235
"Bexar County, Texas",1161
"Bibb County, Alabama",2219
"Bibb County, Georgia",1288
"Bienville County, Louisiana",2702
"Big Horn County, Montana",2859
"Big Horn County, Wyoming",2123
"Big Stone County, Minnesota",2555
"Billings County, North Dakota",3079
"Bingham County, Idaho",1563
"Black Hawk County, Iowa",307
"Blackford County, Indiana",2113
"Bladen County, North Carolina",2176
"Blaine County, Idaho",1848
"Blaine County, Montana",2908
"Blaine County, Nebraska",2837
"Blaine County, Oklahoma",1045
"Blair County, Pennsylvania",312
"Blanco County, Texas",1963
"Bland County, Virginia",1116
"Bleckley County, Georgia",2526
"Bledsoe County, Tennessee",1949
"Blount County, Alabama",1490
"Blount County, Tennessee",319
"Blue Earth County, Minnesota",502
"Boise County, Idaho",2143
"Bolivar County, Mississippi",2177
"Bollinger County, Missouri",2329
"Bond County, Illinois",1894
"Bonner County, Idaho",1605
"Bonneville County, Idaho",1358
"Boone County, Arkansas",726
"Boone County, Iowa",830
"Boone County, Illinois",1507
"Boone County, Indiana",1493
"Boone County, Kentucky",327
"Boone County, Missouri",1281
"Boone County, Nebraska",2786
"Boone County, West Virginia",2050
"Borden County, Texas",3083
"Bosque County, Texas",1886
"Bossier County, Louisiana",1335
"Botetourt County, Virginia",764
"Bottineau County, North Dakota",2564
"Boulder County, Colorado",155
"Boundary County, Idaho",2126
"Bourbon County, Kansas",2515
"Bourbon County, Kentucky",927
"Bowie County, Texas",1378
"Bowman County, North Dakota",3000
"Box Butte County, Nebraska",2584
"Box Elder County, Utah",1528
"Boyd County, Kentucky",1533
"Boyd County, Nebraska",2813
"Boyle County, Kentucky",1748
"Bracken County, Kentucky",2604
"Bradford County, Florida",1746
"Bradford County, Pennsylvania",509
"Bradley County, Arkansas",1049
"Bradley County, Tennessee",377
"Branch County, Michigan",1565
"Brantley County, Georgia",2257
"Braxton County, West Virginia",2296
"Brazoria County, Texas",1213
"Brazos County, Texas",1258
"Breathitt County, Kentucky",2730
"Breckinridge County, Kentucky",925
"Bremer County, Iowa",861
"Brevard County, Florida",1188
"Brewster County, Texas",2372
"Briscoe County, Texas",3061
"Bristol City County, Virginia",949
"Bristol County, Massachusetts",80
"Bristol County, Rhode Island",595
"Broadwater County, Montana",2146
"Bronx County, New York",20
"Brooke County, West Virginia",2053
"Brookings County, South Dakota",2181
"Brooks County, Georgia",2276
"Brooks County, Texas",2686
"Broome County, New York",211
"Broomfield County, Colorado",550
"Broward County, Florida",1160
"Brown County, Illinois",2903
"Brown County, Indiana",1928
"Brown County, Kansas",2358
"Brown County, Minnesota",1785
"Brown County, Nebraska",2803
"Brown County, Ohio",642
"Brown County, South Dakota",1648
"Brown County, Texas",1631
"Brown County, Wisconsin",177
"Brule County, South Dakota",2936
"Brunswick County, North Carolina",352
"Brunswick County, Virginia",957
"Bryan County, Georgia",1728
"Bryan County, Oklahoma",665
"Buchanan County, Iowa",906
"Buchanan County, Missouri",1384
"Buchanan County, Virginia",2052
"Buckingham County, Virginia",1902
"Bucks County, Pennsylvania",71
"Buena Vista City County, Virginia",1119
"Buena Vista County, Iowa",2071
"Buffalo County, Nebraska",627
"Buffalo County, Wisconsin",1025
"Bullitt County, Kentucky",1427
"Bulloch County, Georgia",1439
"Bullock County, Alabama",2741
"Buncombe County, North Carolina",182
"Bureau County, Illinois",1673
"Burke County, Georgia",2058
"Burke County, North Carolina",403
"Burke County, North Dakota",3049
"Burleigh County, North Dakota",1403
"Burleson County, Texas",2844
"Burlington County, New Jersey",105
"Burnet County, Texas",1588
"Burnett County, Wisconsin",990
"Burt County, Nebraska",1115
"Butler County, Alabama",907
"Butler County, Iowa",1001
"Butler County, Kansas",1457
"Butler County, Kentucky",2580
"Butler County, Missouri",1587
"Butler County, Nebraska",2605
"Butler County, Ohio",129
"Butler County, Pennsylvania",225
"Butte County, California",192
"Butte County, Idaho",3013
"Butte County, South Dakota",2355
"Butts County, Georgia",1817
"Cabarrus County, North Carolina",231
"Cabell County, West Virginia",1369
"Cabo Rojo County, Puerto Rico",2159
"Cache County, Utah",1340
"Caddo County, Louisiana",1237
"Caddo County, Oklahoma",2029
"Caguas County, Puerto Rico",2149
"Calaveras County, California",634
"Calcasieu County, Louisiana",1259
"Caldwell County, Kentucky",2316
"Caldwell County, Louisiana",2708
"Caldwell County, Missouri",2366
"Caldwell County, North Carolina",425
"Caldwell County, Texas",1632
"Caledonia County, Vermont",786
"Calhoun County, Alabama",328
"Calhoun County, Arkansas",2787
"Calhoun County, Florida",2519
"Calhoun County, Georgia",2774
"Calhoun County, Iowa",1078
"Calhoun County, Illinois",2790
"Calhoun County, Michigan",1313
"Calhoun County, Mississippi",2847
"Calhoun County, South Carolina",995
"Calhoun County, Texas",1847
"Calhoun County, West Virginia",2413
"Callahan County, Texas",2309
"Callaway County, Missouri",1575
"Calloway County, Kentucky",1639
"Calumet County, Wisconsin",603
"Calvert County, Maryland",411
"Camas County, Idaho",3073
"Cambria County, Pennsylvania",288
"Camden County, Georgia",1526
"Camden County, Missouri",1576
"Camden County, North Carolina",1076
"Camden County, New Jersey",91
"Cameron County, Louisiana",3088
"Cameron County, Pennsylvania",2659
"Cameron County, Texas",1201
"Camp County, Texas",2328
"Campbell County, Kentucky",404
"Campbell County, Tennessee",1607
"Campbell County, Virginia",559
"Campbell County, Wyoming",1558
"Camuy County, Puerto Rico",2557
"Canadian County, Oklahoma",336
"Candler County, Georgia",2125
"Cannon County, Tennessee",1021
"Canyon County, Idaho",1263
"Cape Girardeau County, Missouri",1419
"Cape May County, New Jersey",383
"Carbon County, Montana",2002
"Carbon County, Pennsylvania",496
"Carbon County, Utah",2232
"Carbon County, Wyoming",1921
"Caribou County, Idaho",2902
"Carlisle County, Kentucky",2789
"Carlton County, Minnesota",741
"Carolina County, Puerto Rico",2007
"Caroline County, Maryland",768
"Caroline County, Virginia",809
"Carroll County, Arkansas",819
"Carroll County, Georgia",1346
"Carroll County, Iowa",2068
"Carroll County, Illinois",1927
"Carroll County, Indiana",1864
"Carroll County, Kentucky",2346
"Carroll County, Maryland",243
"Carroll County, Missouri",2370
"Carroll County, Mississippi",2866
"Carroll County, New Hampshire",1541
"Carroll County, Ohio",800
"Carroll County, Tennessee",1745
"Carroll County, Virginia",792
"Carson City County, Nevada",555
"Carson County, Texas",2914
"Carter County, Kentucky",2042
"Carter County, Missouri",2430
"Carter County, Montana",3072
"Carter County, Oklahoma",612
"Carter County, Tennessee",543
"Carteret County, North Carolina",488
"Carver County, Minnesota",402
"Cascade County, Montana",1402
"Casey County, Kentucky",2280
"Cass County, Iowa",1017
"Cass County, Illinois",2308
"Cass County, Indiana",1983
"Cass County, Michigan",1518
"Cass County, Minnesota",807
"Cass County, Missouri",1365
"Cass County, North Dakota",1293
"Cass County, Nebraska",844
"Cass County, Texas",1726
"Cassia County, Idaho",2217
"Castro County, Texas",2887
"Caswell County, North Carolina",864
"Catahoula County, Louisiana",2707
"Catawba County, North Carolina",271
"Catoosa County, Georgia",1466
"Catron County, New Mexico",2448
"Cattaraugus County, New York",433
"Cayey County, Puerto Rico",2558
"Cayuga County, New York",434
"Cecil County, Maryland",371
"Cedar County, Iowa",2076
"Cedar County, Missouri",1941
"Cedar County, Nebraska",2599
"Centre County, Pennsylvania",272
"Cerro Gordo County, Iowa",648
"Chaffee County, Colorado",951
"Chambers County, Alabama",754
"Chambers County, Texas",1669
"Champaign County, Illinois",1253
"Champaign County, Ohio",692
"Charles City County, Virginia",1111
"Charles County, Maryland",285
"Charleston County, South Carolina",135
"Charlevoix County, Michigan",1783
"Charlotte County, Florida",1283
"Charlotte County, Virginia",2732
"Charlottesville City County, Virginia",1581
"Charlton County, Georgia",2734
"Chase County, Kansas",3017
"Chase County, Nebraska",2797
"Chatham County, Georgia",1234
"Chatham County, North Carolina",1469
"Chattahoochee County, Georgia",2738
"Chattooga County, Georgia",2199
"Chautauqua County, Kansas",2980
"Chautauqua County, New York",298
"Chaves County, New Mexico",1458
"Cheatham County, Tennessee",701
"Cheboygan County, Michigan",1776
"Chelan County, Washington",466
"Chemung County, New York",408
"Chenango County, New York",589
"Cherokee County, Alabama",834
"Cherokee County, Georgia",1248
"Cherokee County, Iowa",2528
"Cherokee County, Kansas",2065
"Cherokee County, North Carolina",820
"Cherokee County, Oklahoma",617
"Cherokee County, South Carolina",554
"Cherokee County, Texas",1525
"Cherry County, Nebraska",2785
"Chesapeake City County, Virginia",190
"Cheshire County, New Hampshire",1413
"Chester County, Pennsylvania",94
"Chester County, South Carolina",765
"Chester County, Tennessee",964
"Chesterfield County, South Carolina",621
"Chesterfield County, Virginia",144
"Cheyenne County, Colorado",1153
"Cheyenne County, Kansas",3019
"Cheyenne County, Nebraska",2131
"Chickasaw County, Iowa",2643
"Chickasaw County, Mississippi",2666
"Chicot County, Arkansas",2583
"Childress County, Texas",2901
"Chilton County, Alabama",652
"Chippewa County, Michigan",704
"Chippewa County, Minnesota",2527
"Chippewa County, Wisconsin",512
"Chisago County, Minnesota",564
"Chittenden County, Vermont",268
"Choctaw County, Alabama",2852
"Choctaw County, Mississippi",2882
"Choctaw County, Oklahoma",2097
"Chouteau County, Montana",2924
"Chowan County, North Carolina",1934
"Christian County, Illinois",2023
"Christian County, Kentucky",460
"Christian County, Missouri",1410
"Churchill County, Nevada",847
"Cibola County, New Mexico",2469
"Cidra County, Puerto Rico",2559
"Cimarron County, Oklahoma",1151
"Citrus County, Florida",1303
"Clackamas County, Oregon",125
"Claiborne County, Louisiana",2698
"Claiborne County, Mississippi",2878
"Claiborne County, Tennessee",1712
"Clallam County, Washington",1434
"Clare County, Michigan",1723
"Clarendon County, South Carolina",744
"Clarion County, Pennsylvania",695
"Clark County, Arkansas",876
"Clark County, Illinois",2509
"Clark County, Indiana",1347
"Clark County, Kansas",3041
"Clark County, Kentucky",1661
"Clark County, Missouri",2898
"Clark County, Nevada",10
"Clark County, Ohio",292
"Clark County, South Dakota",2978
"Clark County, Washington",113
"Clark County, Wisconsin",1677
"Clarke County, Alabama",836
"Clarke County, Georgia",1336
"Clarke County, Iowa",2650
"Clarke County, Mississippi",2668
"Clarke County, Virginia",1014
"Clatsop County, Oregon",723
"Clay County, Alabama",2301
"Clay County, Arkansas",2278
"Clay County, Florida",1260
"Clay County, Georgia",2801
"Clay County, Iowa",969
"Clay County, Illinois",2463
"Clay County, Indiana",1768
"Clay County, Kansas",2389
"Clay County, Kentucky",2720
"Clay County, Minnesota",536
"Clay County, Missouri",1246
"Clay County, Mississippi",2070
"Clay County, North Carolina",1067
"Clay County, Nebraska",2613
"Clay County, Tennessee",2405
"Clay County, Texas",2347
"Clay County, West Virginia",2369
"Clayton County, Georgia",1236
"Clayton County, Iowa",2078
"Clear Creek County, Colorado",1087
"Clearfield County, Pennsylvania",430
"Clearwater County, Idaho",2383
"Clearwater County, Minnesota",2543
"Cleburne County, Alabama",2516
"Cleburne County, Arkansas",835
"Clermont County, Ohio",214
"Cleveland County, Arkansas",1093
"Cleveland County, North Carolina",382
"Cleveland County, Oklahoma",172
"Clinch County, Georgia",2772
"Clinton County, Iowa",602
"Clinton County, Illinois",1635
"Clinton County, Indiana",1985
"Clinton County, Kentucky",2353
"Clinton County, Michigan",1423
"Clinton County, Missouri",1856
"Clinton County, New York",429
"Clinton County, Ohio",672
"Clinton County, Pennsylvania",699
"Cloud County, Kansas",2364
"Coahoma County, Mississippi",2664
"Coal County, Oklahoma",1128
"Coamo County, Puerto Rico",2565
"Cobb County, Georgia",1179
"Cochise County, Arizona",305
"Cochran County, Texas",3001
"Cocke County, Tennessee",1659
"Coconino County, Arizona",300
"Codington County, South Dakota",2484
"Coffee County, Alabama",594
"Coffee County, Georgia",2013
"Coffee County, Tennessee",1514
"Coffey County, Kansas",2387
"Coke County, Texas",2993
"Colbert County, Alabama",561
"Cole County, Missouri",1418
"Coleman County, Texas",2682
"Coles County, Illinois",1508
"Colfax County, Nebraska",1069
"Colfax County, New Mexico",1997
"Colleton County, South Carolina",703
"Collier County, Florida",1212
"Collin County, Texas",54
"Collingsworth County, Texas",3006
"Colonial Heights City County, Virginia",959
"Colorado County, Texas",2494
"Colquitt County, Georgia",2170
"Columbia County, Arkansas",854
"Columbia County, Florida",1451
"Columbia County, Georgia",1326
"Columbia County, New York",507
"Columbia County, Oregon",599
"Columbia County, Pennsylvania",482
"Columbia County, Washington",2556
"Columbia County, Wisconsin",544
"Columbiana County, Ohio",347
"Columbus County, North Carolina",540
"Colusa County, California",898
"Comal County, Texas",1351
"Comanche County, Kansas",3053
"Comanche County, Oklahoma",318
"Comanche County, Texas",2300
"Concho County, Texas",2968
"Concordia County, Louisiana",2495
"Conecuh County, Alabama",1030
"Conejos County, Colorado",2400
"Contra Costa County, California",27
"Converse County, Wyoming",2108
"Conway County, Arkansas",899
"Cook County, Georgia",1900
"Cook County, Illinois",1156
"Cook County, Minnesota",1977
"Cooke County, Texas",1629
"Cooper County, Missouri",3092
"Coos County, New Hampshire",1697
"Coos County, Oregon",508
"Coosa County, Alabama",2530
"Copiah County, Mississippi",2187
"Cortland County, New York",600
"Coryell County, Texas",1422
"Coshocton County, Ohio",727
"Costilla County, Colorado",2450
"Cotton County, Oklahoma",1124
"Cottonwood County, Minnesota",2335
"Covington City County, Virginia",2618
"Covington County, Alabama",715
"Covington County, Mississippi",2246
"Coweta County, Georgia",1325
"Cowley County, Kansas",1651
"Cowlitz County, Washington",362
"Craig County, Oklahoma",1930
"Craig County, Virginia",1135
"Craighead County, Arkansas",385
"Crane County, Texas",2958
"Craven County, North Carolina",359
"Crawford County, Arkansas",515
"Crawford County, Georgia",2325
"Crawford County, Iowa",965
"Crawford County, Illinois",2498
"Crawford County, Indiana",1065
"Crawford County, Kansas",1623
"Crawford County, Michigan",1940
"Crawford County, Missouri",1807
"Crawford County, Ohio",651
"Crawford County, Pennsylvania",409
"Crawford County, Wisconsin",1910
"Creek County, Oklahoma",473
"Crenshaw County, Alabama",1019
"Crisp County, Georgia",2056
"Crittenden County, Arkansas",588
"Crittenden County, Kentucky",2596
"Crockett County, Tennessee",2295
"Crook County, Oregon",904
"Crook County, Wyoming",2420
"Crosby County, Texas",2918
"Cross County, Arkansas",948
"Crow Wing County, Minnesota",1474
"Crowley County, Colorado",2782
"Cullman County, Alabama",1405
"Culpeper County, Virginia",622
"Cumberland County, Illinois",2646
"Cumberland County, Kentucky",2425
"Cumberland County, Maine",161
"Cumberland County, North Carolina",142
"Cumberland County, New Jersey",267
"Cumberland County, Pennsylvania",184
"Cumberland County, Tennessee",1495
"Cumberland County, Virginia",2471
"Cuming County, Nebraska",1085
"Currituck County, North Carolina",867
"Curry County, New Mexico",1540
"Curry County, Oregon",886
"Custer County, Colorado",1978
"Custer County, Idaho",2147
"Custer County, Montana",2334
"Custer County, Nebraska",2587
"Custer County, Oklahoma",2045
"Custer County, South Dakota",2401
"Cuyahoga County, Ohio",22
"Dade County, Georgia",1911
"Dade County, Missouri",2545
"Daggett County, Utah",3074
"Dakota County, Minnesota",121
"Dakota County, Nebraska",902
"Dale County, Alabama",591
"Dallam County, Texas",2905
"Dallas County, Alabama",650
"Dallas County, Arkansas",1097
"Dallas County, Iowa",491
"Dallas County, Missouri",1906
"Dallas County, Texas",6
"Dane County, Wisconsin",98
"Daniels County, Montana",3055
"Danville City County, Virginia",660
"Dare County, North Carolina",756
"Darke County, Ohio",568
"Darlington County, South Carolina",478
"Dauphin County, Pennsylvania",167
"Davidson County, North Carolina",251
"Davidson County, Tennessee",69
"Davie County, North Carolina",684
"Daviess County, Indiana",1717
"Daviess County, Kentucky",1368
"Daviess County, Missouri",3096
"Davis County, Iowa",1091
"Davis County, Utah",1216
"Dawes County, Nebraska",2598
"Dawson County, Georgia",1830
"Dawson County, Montana",2376
"Dawson County, Nebraska",859
"Dawson County, Texas",2853
"Day County, South Dakota",2927
"De Baca County, New Mexico",3046
"De Kalb County, Alabama",1436
"De Kalb County, Illinois",2566
"De Kalb County, Indiana",1591
"De Soto County, Florida",1674
"De Soto County, Louisiana",2197
"De Witt County, Texas",2241
"DeKalb County, Illinois",1357
"DeKalb County, Missouri",3093
"DeSoto County, Mississippi",256
"Deaf Smith County, Texas",2248
"Dearborn County, Indiana",593
"Decatur County, Georgia",2040
"Decatur County, Iowa",1095
"Decatur County, Indiana",1789
"Decatur County, Kansas",3012
"Decatur County, Tennessee",1955
"Deer Lodge County, Montana",2135
"Defiance County, Ohio",702
"Dekalb County, Georgia",1178
"Dekalb County, Tennessee",1879
"Del Norte County, California",805
"Delaware County, Iowa",953
"Delaware County, Indiana",1333
"Delaware County, New York",609
"Delaware County, Ohio",237
"Delaware County, Oklahoma",679
"Delaware County, Pennsylvania",79
"Delta County, Colorado",787
"Delta County, Michigan",1642
"Delta County, Texas",2689
"Dent County, Missouri",1996
"Denton County, Texas",65
"Denver County, Colorado",76
"Des Moines County, Iowa",690
"Deschutes County, Oregon",266
"Desha County, Arkansas",2579
"Deuel County, Nebraska",2819
"Dewey County, Oklahoma",2629
"Dewitt County, Illinois",2506
"Dickens County, Texas",3031
"Dickenson County, Virginia",981
"Dickey County, North Dakota",2711
"Dickinson County, Iowa",970
"Dickinson County, Kansas",1868
"Dickinson County, Michigan",2048
"Dickson County, Tennessee",597
"Dillon County, South Carolina",2479
"Dimmit County, Texas",2875
"Dinwiddie County, Virginia",1757
#N/A,75
"Divide County, North Dakota",3045
"Dixie County, Florida",1914
"Dixon County, Nebraska",1127
"Doddridge County, West Virginia",2652
"Dodge County, Georgia",2492
"Dodge County, Minnesota",923
"Dodge County, Nebraska",1646
"Dodge County, Wisconsin",410
"Dolores County, Colorado",2814
"Dona Ana County, New Mexico",1251
"Doniphan County, Kansas",2888
"Donley County, Texas",2979
"Dooly County, Georgia",2289
"Door County, Wisconsin",816
"Dorchester County, Maryland",774
"Dorchester County, South Carolina",296
"Dougherty County, Georgia",1374
"Douglas County, Colorado",158
"Douglas County, Georgia",1316
"Douglas County, Illinois",1865
"Douglas County, Kansas",1344
"Douglas County, Minnesota",738
"Douglas County, Missouri",2109
"Douglas County, Nebraska",89
"Douglas County, Nevada",616
"Douglas County, Oregon",349
"Douglas County, South Dakota",3009
"Douglas County, Washington",706
"Douglas County, Wisconsin",647
"Drew County, Arkansas",939
"Du Page County, Illinois",1169
"Dubois County, Indiana",1597
"Dubuque County, Iowa",393
"Duchesne County, Utah",2255
"Dukes County, Massachusetts",971
"Dundy County, Nebraska",2817
"Dunklin County, Missouri",2182
"Dunn County, North Dakota",2982
"Dunn County, Wisconsin",1578
"Duplin County, North Carolina",539
"Durham County, North Carolina",1232
"Dutchess County, New York",153
"Duval County, Florida",1172
"Duval County, Texas",2861
"Dyer County, Tennessee",2173
"Eagle County, Colorado",577
"Early County, Georgia",2585
"East Baton Rouge County, Louisiana",1196
"East Carroll County, Louisiana",2893
"East Feliciana County, Louisiana",2697
"Eastland County, Texas",1880
"Eaton County, Michigan",1354
"Eau Claire County, Wisconsin",379
"Echols County, Georgia",2795
"Ector County, Texas",1311
"Eddy County, North Dakota",3034
"Eddy County, New Mexico",1509
"Edgar County, Illinois",2499
"Edgecombe County, North Carolina",547
"Edgefield County, South Carolina",824
"Edmonson County, Kentucky",2118
"Edwards County, Illinois",1117
"Edwards County, Kansas",3007
"Edwards County, Texas",3047
"Effingham County, Georgia",1521
"Effingham County, Illinois",1680
"El Dorado County, California",229
"El Paso County, Colorado",72
"El Paso County, Texas",1175
"Elbert County, Colorado",875
"Elbert County, Georgia",1863
"Elk County, Kansas",3015
"Elk County, Pennsylvania",781
"Elkhart County, Indiana",1256
"Elko County, Nevada",606
"Elliott County, Kentucky",2763
"Ellis County, Kansas",1747
"Ellis County, Oklahoma",1141
"Ellis County, Texas",280
"Ellsworth County, Kansas",2428
"Elmore County, Alabama",436
"Elmore County, Idaho",1767
"Emanuel County, Georgia",2222
"Emery County, Utah",2532
"Emmet County, Iowa",2648
"Emmet County, Michigan",1705
"Emmons County, North Dakota",2714
"Emporia City County, Virginia",2780
"Erath County, Texas",1634
"Erie County, New York",37
"Erie County, Ohio",447
"Erie County, Pennsylvania",162
"Escambia County, Alabama",709
"Escambia County, Florida",1217
"Esmeralda County, Nevada",1155
"Essex County, Massachusetts",56
"Essex County, New Jersey",53
"Essex County, New York",698
"Essex County, Virginia",1055
"Essex County, Vermont",1122
"Estill County, Kentucky",2576
"Etowah County, Alabama",358
"Eureka County, Nevada",2818
"Evangeline County, Louisiana",2178
"Evans County, Georgia",2344
"Fairbanks North Star County, Alaska",1367
"Fairfax City County, Virginia",884
"Fairfax County, Virginia",26
"Fairfield County, Connecticut",38
"Fairfield County, Ohio",286
"Fairfield County, South Carolina",862
"Fajardo County, Puerto Rico",2153
"Fall River County, South Dakota",3097
"Fallon County, Montana",3014
"Falls Church City County, Virginia",1040
"Falls County, Texas",2262
"Fannin County, Georgia",1816
"Fannin County, Texas",1683
"Faribault County, Minnesota",1004
"Faulkner County, Arkansas",343
"Fauquier County, Virginia",497
"Fayette County, Alabama",2568
"Fayette County, Georgia",1356
"Fayette County, Iowa",909
"Fayette County, Illinois",1832
"Fayette County, Indiana",2205
"Fayette County, Kentucky",154
"Fayette County, Ohio",798
"Fayette County, Pennsylvania",295
"Fayette County, Tennessee",707
"Fayette County, Texas",2204
"Fayette County, West Virginia",2012
"Fentress County, Tennessee",1890
"Fergus County, Montana",1998
"Ferry County, Washington",2414
"Fillmore County, Minnesota",1854
"Fillmore County, Nebraska",2619
"Finney County, Kansas",2019
"Fisher County, Texas",2971
"Flagler County, Florida",1372
"Flathead County, Montana",1380
"Fleming County, Kentucky",2103
"Florence County, South Carolina",294
"Florence County, Wisconsin",2442
"Floyd County, Georgia",1371
"Floyd County, Iowa",2572
"Floyd County, Indiana",1425
